,title,brand,category_name,group_name
0,"""beetel m13 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
1,"""ge 30011 corded landline phone(black)""","""GE""","""Other Phones""","""Electronics"""
2,"""spctelecom 3016u landline phone(purple)""","""SPCtelecom""","""Other Phones""","""Electronics"""
3,"""swiss voice vintage 20 corded landline phone(black)""","""Swiss Voice""","""Other Phones""","""Electronics"""
4,"""binatone concept 810 corded landline phone(black)""","""Binatone""","""Other Phones""","""Electronics"""
5,"""spctelecom 3601 landline phone(white)""","""SPCtelecom""","""Other Phones""","""Electronics"""
6,"""orpat 1820 corded landline phone(black)""","""Orpat""","""Other Phones""","""Electronics"""
7,"""uniden as7101 corded landline phone(blue)""","""Uniden""","""Other Phones""","""Electronics"""
8,"""ge dect 6.0 cordless landline phone(black & silver)""","""GE""","""Other Phones""","""Electronics"""
9,"""panasonic kx-tg2358 cordless landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
10,"""alcatel temporis mini corded landline phone(blue)""","""Alcatel""","""Other Phones""","""Electronics"""
11,"""alcatel versatis e100 cordless landline phone(black & white)""","""Alcatel""","""Other Phones""","""Electronics"""
12,"""alcatel temporis 35 corded landline phone(black)""","""Alcatel""","""Other Phones""","""Electronics"""
13,"""alcatel versatis e100 voice cordless landline phone""","""Alcatel""","""Other Phones""","""Electronics"""
14,"""ge 30033 corded landline phone(white)""","""GE""","""Other Phones""","""Electronics"""
15,"""orpat 1410 corded landline phone(black)""","""Orpat""","""Other Phones""","""Electronics"""
16,"""beetel b70 corded landline phone(white)""","""Beetel""","""Other Phones""","""Electronics"""
17,"""orpat 1820 corded landline phone(p.s.grey)""","""Orpat""","""Other Phones""","""Electronics"""
18,"""orpat 3565 corded landline phone(black)""","""Orpat""","""Other Phones""","""Electronics"""
19,"""orpat 3665 corded landline phone(black)""","""Orpat""","""Other Phones""","""Electronics"""
20,"""beetel b80 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
21,"""gigaset c675 corded & cordless landline phone with answering machine(black)""","""Gigaset""","""Other Phones""","""Electronics"""
22,"""gigaset da410 corded landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
23,"""gigaset sl910a cordless landline phone""","""Gigaset""","""Other Phones""","""Electronics"""
24,"""gigaset da210 corded landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
25,"""gigaset da410 corded landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
26,"""gigaset da710 corded landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
27,"""gigaset da310 corded landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
28,"""panasonic kx-ts840sxb corded landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
29,"""gigaset da710 corded landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
30,"""gigaset c330 corded & cordless combo landline phone""","""Gigaset""","""Other Phones""","""Electronics"""
31,"""binatone spirit 510dx landline phone(white)""","""Binatone""","""Other Phones""","""Electronics"""
32,"""panasonic kx-ts3282bxd corded landline phone(white)""","""Panasonic""","""Other Phones""","""Electronics"""
33,"""beetel b78 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
34,"""gigaset c330 corded & cordless landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
